Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
GameDecision;2021-02-02 15:20:43.6118;12712;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;12;-11.7811;0.0000;Running;2.6351;12;0.1000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-02-02 15:20:43.6237;12714;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7671;21
Rest;2021-02-02 15:20:44.0077;12741;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6599;21
InputWindowChange;2021-02-02 15:20:54.4226;13501;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;13;-11.7811;0.0000;Running;2.1110;12;0.1000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:20:58.4205;13796;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;13;-11.7642;0.0000;Running;2.1110;12;0.1000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:20:58.4235;13796;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;13;-11.7642;0.0000;Running;2.1110;12;0.1000;3;0.1500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-02-02 15:21:09.5559;14608;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;14;-11.7642;0.0000;Running;1.5874;12;0.1000;3;0.1500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:21:11.1333;14718;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;14;-14.1710;0.0000;Running;1.5874;12;0.1000;3;0.1500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:21:11.1343;14718;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;14;-14.1710;0.0000;Running;1.5874;12;0.1000;2;0.2000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-02-02 15:21:21.3845;15458;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;15;-14.1710;0.0000;Running;2.6341;12;0.1000;2;0.2000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
