Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
GameDecision;2021-01-25 15:48:46.5865;15737;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;14;0.0005;0.0000;Running;3.7025;15;0.2500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:48.5852;16023;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;15;0.0000;0.0000;Running;3.7533;15;0.2500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:48:53.5922;16739;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;15;0.0070;0.0000;Running;3.7533;15;0.2500;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:48:53.5942;16739;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;15;0.0070;0.0000;Running;3.7533;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:48:55.5872;17024;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;16;0.0000;0.0000;Running;2.4577;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:49:00.5915;17740;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;16;0.0043;0.0000;Running;2.4577;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:49:00.5925;17740;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;16;0.0043;0.0000;Running;2.4577;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:49:02.5904;18026;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;17;0.0000;0.0000;Running;4.3194;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:49:07.5932;18742;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;17;0.0028;0.0000;Running;4.3194;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:49:07.5952;18742;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;17;0.0028;0.0000;Running;4.3194;15;0.2500;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:49:09.5908;19028;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;18;0.0000;0.0000;Running;2.3832;15;0.2500;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:49:14.5929;19744;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;18;0.0021;0.0000;Running;2.3832;15;0.2500;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:49:14.5939;19744;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;18;0.0021;0.0000;Running;2.3832;15;0.2500;0;0.0000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-25 15:49:16.5965;20031;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;19;0.0000;0.0000;Running;3.0244;15;0.2500;0;0.0000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:49:21.6033;20747;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;19;0.0058;0.0000;Running;3.0244;15;0.2500;0;0.0000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:49:21.6043;20747;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;19;0.0058;0.0000;Running;3.0244;15;0.2500;0;0.0000;0;0.7500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
GameStopped;2021-01-25 15:49:23.5993;21033;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;20;0.0000;0.0000;Stopped;3.0244;15;0.2500;0;0.0000;0;0.7500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameStopped;2021-01-25 15:49:34.0900;22492;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;Closed;20;0.0000;0.0000;Stopped;3.0244;15;0.2500;0;0.0000;0;0.7500;0;0.0000;0;0.0000;0;0.0000;NA
