Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-01-29 14:53:50.6216;16064;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;15;-6.3368;0.0000;Running;2.4629;16;0.2000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 14:53:53.4806;16266;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7550;12
InputWindowChange;2021-01-29 14:53:53.4806;16266;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;15;-7.4563;0.0000;Running;2.4629;16;0.2000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:53:53.4816;16266;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;15;-7.4563;0.0000;Running;2.4629;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 14:53:53.4886;16267;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7420;12
InputWindowChange;2021-01-29 14:54:03.1198;16927;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;16;-7.4563;0.0000;Running;1.9212;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:54:07.1158;17206;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;16;-7.4440;0.0000;Running;1.9212;15;0.2500;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:54:07.1238;17206;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;16;-7.4440;0.0000;Running;1.9212;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:54:17.9264;17908;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;17;-7.4440;0.0000;Running;2.5798;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:54:21.9052;18163;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;17;-7.4436;0.0000;Running;2.5798;15;0.2500;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
