Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
Rest;2021-01-29 10:52:56.2099;5382;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5995;14;(0.734 0.738 0.718 0.694 0.599 0.768 0.761 0.749 );NULL
InputWindowChange;2021-01-29 10:52:56.5475;5401;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;13;-3.7943;0.0000;Running;1.2031;4;0.5000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:56.5495;5401;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;13;-3.7943;0.0000;Running;1.2031;4;0.5000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
InputWindowChange;2021-01-29 10:53:02.3597;5734;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;14;0.0000;0.0000;Running;3.0496;4;0.5000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:53:03.0771;5774;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7162;15;(0.671 0.680 0.680 0.652 0.671 0.660 0.716 0.660 );NULL
Rest;2021-01-29 10:53:03.3614;5790;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6402;15;(0.716 0.724 0.681 0.640 0.671 0.660 0.716 0.709 );NULL
InputWindowChange;2021-01-29 10:53:05.4199;5905;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;14;-1.9365;0.0000;Running;3.0496;4;0.5000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:53:05.4229;5905;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;14;-1.9365;0.0000;Running;3.0496;4;0.5000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
MotorImagery;2021-01-29 10:53:05.9101;5930;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7026;16;(0.705 0.685 0.685 0.697 0.697 0.708 0.703 0.664 );NULL
Rest;2021-01-29 10:53:06.0358;5937;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6400;16;(0.705 0.685 0.685 0.697 0.697 0.708 0.703 0.640 );NULL
