Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
MotorImagery;2021-01-28 13:19:35.1367;16159;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7522;6;NULL
Rest;2021-01-28 13:19:35.7650;16206;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7095;6;NULL
MotorImagery;2021-01-28 13:19:36.0847;16227;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7376;7;NULL
Rest;2021-01-28 13:19:36.2006;16235;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7092;7;NULL
MotorImagery;2021-01-28 13:19:36.2809;16242;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7262;8;NULL
InputWindowChange;2021-01-28 13:19:37.3626;16319;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;17;-15.9668;0.0000;Running;1.3264;10;0.1000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:19:41.3688;16593;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;17;-15.9426;0.0000;Running;1.3264;10;0.1000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:19:41.3698;16593;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;17;-15.9426;0.0000;Running;1.3264;10;0.1000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
Rest;2021-01-28 13:19:41.5394;16605;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7031;8;NULL
MotorImagery;2021-01-28 13:19:49.9622;17193;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7502;9;NULL
Rest;2021-01-28 13:19:50.3452;17220;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6791;9;NULL
InputWindowChange;2021-01-28 13:19:52.5284;17361;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;18;-15.9426;0.0000;Running;1.7992;10;0.1000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:19:53.5366;17424;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7389;10;NULL
InputWindowChange;2021-01-28 13:19:53.5366;17424;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;18;-18.9103;0.0000;Running;1.7992;10;0.1000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:19:53.5376;17424;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;18;-18.9103;0.0000;Running;1.7992;9;0.1500;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-28 13:19:54.6978;17502;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7167;10;NULL
