Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 11:24:01.7227;4666;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:07.6984;4783;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;10;0.0126;0.0000;Running;4.3787;20;0.0000;0;0.0000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:24:07.7004;4783;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;10;0.0126;0.0000;Running;4.3787;20;0.0000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:24:07.9149;4796;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:13.3897;4883;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;11;0.0000;0.0000;Running;3.0366;20;0.0000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:24:14.1118;4926;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:24:20.3141;5057;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:25.7629;5143;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;11;0.0072;0.0000;Running;3.0366;20;0.0000;0;0.0000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:24:25.7649;5143;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;11;0.0072;0.0000;Running;3.0366;20;0.0000;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:24:26.5061;5187;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:31.4630;5243;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;12;0.0000;0.0000;Running;4.3771;20;0.0000;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:24:32.7109;5317;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:24:38.9178;5448;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:43.8427;5503;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;12;0.0100;0.0000;Running;4.3771;20;0.0000;0;0.0000;0;0.6000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:24:43.8457;5503;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;12;0.0100;0.0000;Running;4.3771;20;0.0000;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:24:45.1063;5578;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:24:49.6335;5609;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;13;0.0000;0.0000;Running;3.4356;20;0.0000;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:24:51.3050;5708;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:24:57.5037;5838;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:25:02.0288;5869;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;13;0.0285;0.0000;Running;3.4356;20;0.0000;0;0.0000;0;0.6500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:25:02.0308;5869;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;13;0.0285;0.0000;Running;3.4356;20;0.0000;0;0.0000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:25:03.7059;5968;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:25:04.0147;5986;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;14;0.0000;0.0000;Running;1.6945;20;0.0000;0;0.0000;0;0.7000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
