Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
Rest;2021-01-29 11:14:38.4285;3666;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6317;19;NULL
MotorImagery;2021-01-29 11:14:38.5322;3675;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6516;20;NULL
Rest;2021-01-29 11:14:39.1850;3729;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4882;20;NULL
MotorImagery;2021-01-29 11:14:43.9027;4103;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6546;21;NULL
Rest;2021-01-29 11:14:44.0513;4114;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6384;21;NULL
MotorImagery;2021-01-29 11:14:44.0613;4115;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6713;22;NULL
Rest;2021-01-29 11:14:44.1590;4123;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6432;22;NULL
MotorImagery;2021-01-29 11:14:44.3556;4138;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6543;23;NULL
Rest;2021-01-29 11:14:44.5392;4152;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5995;23;NULL
InputWindowChange;2021-01-29 11:14:45.3081;4206;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Open;3;-2.6425;0.0000;Running;1.8808;10;0.0000;5;0.0385;8;0.0769;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
