Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
MotorImagery;2021-01-26 11:19:29.2495;6831;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8531;14;(0.859 0.852 0.850 0.845 0.853 0.742 0.783 0.838 )
InputWindowChange;2021-01-26 11:19:29.2495;6831;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;13;-1.4858;0.0000;Running;1.4909;7;0.3500;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:29.2505;6831;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;13;-1.4858;0.0000;Running;1.4909;6;0.4000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:19:29.5198;6847;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6935;14;(0.725 0.694 0.850 0.845 0.853 0.845 0.754 0.723 )
InputWindowChange;2021-01-26 11:19:32.7503;7038;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;14;0.0000;0.0000;Running;1.5354;6;0.4000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:19:34.5038;7141;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9523;15;(0.901 0.923 0.932 0.947 0.952 0.778 0.821 0.872 )
InputWindowChange;2021-01-26 11:19:34.5059;7141;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;14;-3.2477;0.0000;Running;1.5354;6;0.4000;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:19:34.5079;7141;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;14;-3.2477;0.0000;Running;1.5354;5;0.4500;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:19:35.5578;7203;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6685;15;(0.917 0.896 0.855 0.771 0.703 0.669 0.945 0.937 )
InputWindowChange;2021-01-26 11:19:39.7675;7452;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;15;0.0000;0.0000;Running;1.5051;5;0.4500;2;0.2000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
