Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-02-02 12:49:17.6878;6475;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;7;-13.1630;0.0000;Running;2.9468;13;0.3500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:49:19.2237;6574;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7259;22;NULL
InputWindowChange;2021-02-02 12:49:19.2237;6574;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;7;-15.6108;0.0000;Running;2.9468;13;0.3500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:49:19.2247;6574;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;7;-15.6108;0.0000;Running;2.9468;12;0.4000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:49:19.5879;6597;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7174;22;NULL
MotorImagery;2021-02-02 12:49:26.7017;7087;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7235;23;NULL
Rest;2021-02-02 12:49:27.7506;7155;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6795;23;NULL
MotorImagery;2021-02-02 12:49:29.3002;7257;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7242;24;NULL
InputWindowChange;2021-02-02 12:49:29.3231;7258;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;8;-15.6108;0.0000;Running;2.5119;12;0.4000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-02-02 12:49:29.4009;7263;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7078;24;NULL
