Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
MotorImagery;2021-01-29 11:09:13.9954;3998;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6808;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:14.1588;4010;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6486;18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:14.7861;4060;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6824;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:14.8958;4069;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6338;19;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:15.4390;4109;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6559;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:15.4519;4110;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6419;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:15.5646;4119;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6547;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:15.9382;4146;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6498;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:18.1030;4314;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6644;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:18.3953;4336;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6322;22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:18.4910;4343;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6733;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:18.7373;4362;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6398;23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:09:23.4162;4718;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Open;4;-6.2207;0.0000;Running;1.2105;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:09:24.1259;4770;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6554;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:24.1368;4771;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6307;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:09:24.6165;4803;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;4;-9.0101;0.0000;Running;1.2105;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:09:24.6206;4803;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;4;-9.0101;0.0000;Running;1.2105;11;0.1500;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
MotorImagery;2021-01-29 11:09:25.8901;4896;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6542;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:26.0716;4912;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6240;25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
